INFO : 2019-11-02 16:06:10,304 : ready main
INFO : 2019-11-02 16:07:31,286 : ready main
INFO : 2019-11-02 16:07:31,286 : load mnist
INFO : 2019-11-02 16:07:49,285 : transform tsne
INFO : 2019-11-02 16:07:56,002 : plot tsne
DEBUG : 2019-11-02 16:07:56,121 : locator: <matplotlib.colorbar._ColorbarAutoLocator object at 0x1a16ee6cf8>
DEBUG : 2019-11-02 16:07:56,121 : Using auto colorbar locator on colorbar
DEBUG : 2019-11-02 16:07:56,121 : locator: <matplotlib.colorbar._ColorbarAutoLocator object at 0x1a16ee6cf8>
DEBUG : 2019-11-02 16:07:56,121 : Setting pcolormesh
DEBUG : 2019-11-02 16:07:56,200 : findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
DEBUG : 2019-11-02 16:07:56,200 : findfont: score(<Font 'STIXGeneral' (STIXGeneralBolIta.ttf) italic normal bold normal>) = 11.335
DEBUG : 2019-11-02 16:07:56,200 : findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-BoldItalic.ttf) italic normal bold normal>) = 11.335
DEBUG : 2019-11-02 16:07:56,200 : findfont: score(<Font 'STIXNonUnicode' (STIXNonUni.ttf) normal normal regular normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,200 : findfont: score(<Font 'cmsy10' (cmsy10.ttf) normal normal 400 normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymBol.ttf) normal normal bold normal>) = 10.335
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'STIXGeneral' (STIXGeneralItalic.ttf) italic normal 400 normal>) = 11.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'cmr10' (cmr10.ttf) normal normal 400 normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'DejaVu Serif' (DejaVuSerif.ttf) normal normal 400 normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'DejaVu Serif Display' (DejaVuSerifDisplay.ttf) normal normal 400 normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Oblique.ttf) oblique normal 400 normal>) = 1.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'STIXSizeFiveSym' (STIXSizFiveSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Bold.ttf) normal normal bold normal>) = 0.33499999999999996
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'cmmi10' (cmmi10.ttf) normal normal 400 normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'STIXGeneral' (STIXGeneral.ttf) normal normal regular normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'cmss10' (cmss10.ttf) normal normal 400 normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'STIXNonUnicode' (STIXNonUniIta.ttf) italic normal 400 normal>) = 11.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'IPAexGothic' (ipaexg.ttf) normal normal 400 normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,201 : findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Oblique.ttf) oblique normal 400 normal>) = 11.05
DEBUG : 2019-11-02 16:07:56,202 : findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Italic.ttf) italic normal 400 normal>) = 11.05
DEBUG : 2019-11-02 16:07:56,202 : findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Bold.ttf) normal normal bold normal>) = 10.335
DEBUG : 2019-11-02 16:07:56,202 : findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymBol.ttf) normal normal bold normal>) = 10.335
DEBUG : 2019-11-02 16:07:56,202 : findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBolIta.ttf) italic normal bold normal>) = 11.335
DEBUG : 2019-11-02 16:07:56,202 : findfont: score(<Font 'cmex10' (cmex10.ttf) normal normal 400 normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,202 : findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Bold.ttf) normal normal bold normal>) = 10.335
DEBUG : 2019-11-02 16:07:56,202 : findfont: score(<Font 'DejaVu Sans Display' (DejaVuSansDisplay.ttf) normal normal 400 normal>) = 10.05
DEBUG : 2019-11-02 16:07:56,202 : findfont: score(<Font 'cmb10' (cmb10.ttf) normal normal 400 normal>) = 10.05
